t_s,power.draw,power.limit,temperature.gpu,utilization.gpu,clocks.sm,clocks.mem,clocks_throttle_reasons.active,pcie.link.gen.current,memory.used
0.1,20.61,250.00,33,2,1012,13801,0x0000000000000000,5,6120
2.1,126.57,250.00,37,99,2917,13801,0x0000000000000000,5,6120
4.1,125.88,250.00,37,99,2917,13801,0x0000000000000000,5,6120
6.2,125.84,250.00,37,99,2917,13801,0x0000000000000000,5,6120
8.2,126.53,250.00,37,99,2917,13801,0x0000000000000000,5,6120
10.2,126.13,250.00,37,99,2917,13801,0x0000000000000000,5,6120
12.2,127.08,250.00,37,99,2917,13801,0x0000000000000000,5,6120
14.2,126.74,250.00,37,99,2917,13801,0x0000000000000000,5,6120
16.2,127.43,250.00,37,99,2917,13801,0x0000000000000000,5,6120
18.2,126.97,250.00,37,99,2917,13801,0x0000000000000000,5,6114
20.2,126.96,250.00,37,99,2917,13801,0x0000000000000000,5,6058
22.2,127.57,250.00,38,99,2917,13801,0x0000000000000000,5,6058
24.2,127.63,250.00,38,99,2917,13801,0x0000000000000000,5,6058
26.3,127.80,250.00,38,99,2917,13801,0x0000000000000000,5,6058
28.3,127.73,250.00,38,99,2917,13801,0x0000000000000000,5,6058
30.3,127.27,250.00,38,99,2917,13801,0x0000000000000000,5,6058
32.3,127.94,250.00,38,99,2917,13801,0x0000000000000000,5,6058
34.3,126.92,250.00,38,99,2917,13801,0x0000000000000000,5,6058
36.3,127.68,250.00,38,99,2917,13801,0x0000000000000000,5,6058
38.3,127.97,250.00,38,99,2917,13801,0x0000000000000000,5,6058
40.3,127.43,250.00,38,99,2917,13801,0x0000000000000000,5,6058
42.3,127.92,250.00,38,99,2917,13801,0x0000000000000000,5,6058
44.3,128.01,250.00,38,99,2917,13801,0x0000000000000000,5,6058
46.4,127.99,250.00,38,99,2917,13801,0x0000000000000000,5,6058
48.4,127.57,250.00,38,99,2917,13801,0x0000000000000000,5,6058
50.4,127.04,250.00,38,99,2917,13801,0x0000000000000000,5,6058
52.4,127.50,250.00,38,99,2910,13801,0x0000000000000000,5,6058
54.4,126.15,250.00,38,99,2917,13801,0x0000000000000000,5,6058
56.4,127.14,250.00,38,99,2917,13801,0x0000000000000000,5,6058
58.4,127.24,250.00,38,99,2917,13801,0x0000000000000000,5,6058
60.4,126.82,250.00,38,99,2917,13801,0x0000000000000000,5,6006
62.4,127.44,250.00,38,99,2917,13801,0x0000000000000000,5,6014
64.4,127.16,250.00,38,99,2910,13801,0x0000000000000000,5,6042
66.4,127.37,250.00,38,99,2917,13801,0x0000000000000000,5,6054
68.5,127.23,250.00,38,99,2910,13801,0x0000000000000000,5,6082
70.5,126.99,250.00,38,99,2917,13801,0x0000000000000000,5,6084
72.5,127.90,250.00,38,99,2910,13801,0x0000000000000000,5,6084
74.5,128.04,250.00,38,99,2917,13801,0x0000000000000000,5,6084
76.5,128.36,250.00,38,99,2910,13801,0x0000000000000000,5,6044
78.5,128.18,250.00,38,99,2910,13801,0x0000000000000000,5,6050
80.5,126.49,250.00,38,99,2917,13801,0x0000000000000000,5,6050
82.5,126.95,250.00,38,99,2910,13801,0x0000000000000000,5,6050
84.5,126.97,250.00,38,99,2917,13801,0x0000000000000000,5,6049
86.5,127.15,250.00,38,99,2917,13801,0x0000000000000000,5,6029
88.5,127.68,250.00,38,99,2917,13801,0x0000000000000000,5,6029
90.5,126.42,250.00,38,99,2917,13801,0x0000000000000000,5,6039
92.5,126.71,250.00,38,99,2917,13801,0x0000000000000000,5,6104
94.5,127.98,250.00,38,99,2917,13801,0x0000000000000000,5,6104
96.5,127.88,250.00,38,99,2917,13801,0x0000000000000000,5,6088
98.6,127.29,250.00,38,99,2917,13801,0x0000000000000000,5,6088
100.6,126.92,250.00,38,99,2917,13801,0x0000000000000000,5,6088
102.6,127.97,250.00,38,99,2910,13801,0x0000000000000000,5,6088
104.6,127.49,250.00,38,99,2910,13801,0x0000000000000000,5,6088
106.6,126.63,250.00,38,99,2917,13801,0x0000000000000000,5,6031
108.6,126.95,250.00,38,99,2917,13801,0x0000000000000000,5,6031
110.6,127.27,250.00,38,99,2910,13801,0x0000000000000000,5,6050
112.6,128.29,250.00,38,99,2917,13801,0x0000000000000000,5,6050
114.6,128.00,250.00,38,99,2917,13801,0x0000000000000000,5,6031
116.6,127.07,250.00,38,99,2917,13801,0x0000000000000000,5,6050
118.6,128.29,250.00,38,99,2917,13801,0x0000000000000000,5,6050
120.7,127.58,250.00,38,99,2917,13801,0x0000000000000000,5,6066
122.7,128.00,250.00,38,99,2917,13801,0x0000000000000000,5,6066
124.7,128.20,250.00,38,99,2917,13801,0x0000000000000000,5,6066
126.7,127.14,250.00,38,99,2917,13801,0x0000000000000000,5,6050
128.7,127.81,250.00,38,99,2917,13801,0x0000000000000000,5,6039
130.7,126.10,250.00,38,99,2917,13801,0x0000000000000000,5,6042
132.7,126.86,250.00,38,99,2917,13801,0x0000000000000000,5,6038
134.7,128.05,250.00,38,99,2917,13801,0x0000000000000000,5,6038
136.7,127.28,250.00,38,99,2917,13801,0x0000000000000000,5,6038
138.8,128.00,250.00,38,99,2910,13801,0x0000000000000000,5,6038
140.8,127.31,250.00,38,99,2917,13801,0x0000000000000000,5,6040
142.8,128.37,250.00,38,99,2917,13801,0x0000000000000000,5,6040
144.8,127.64,250.00,38,99,2917,13801,0x0000000000000000,5,6042
146.8,128.11,250.00,38,99,2917,13801,0x0000000000000000,5,6042
148.8,127.72,250.00,38,99,2917,13801,0x0000000000000000,5,6042
150.8,127.54,250.00,38,99,2917,13801,0x0000000000000000,5,6034
152.8,127.09,250.00,38,99,2917,13801,0x0000000000000000,5,6042
154.8,127.39,250.00,38,99,2917,13801,0x0000000000000000,5,6091
156.8,127.76,250.00,38,99,2917,13801,0x0000000000000000,5,6081
158.8,127.83,250.00,38,99,2917,13801,0x0000000000000000,5,6081
160.9,127.27,250.00,39,99,2917,13801,0x0000000000000000,5,6081
162.9,128.17,250.00,38,99,2917,13801,0x0000000000000000,5,6088
164.9,127.81,250.00,38,99,2917,13801,0x0000000000000000,5,6035
166.9,127.92,250.00,39,99,2910,13801,0x0000000000000000,5,6035
168.9,127.51,250.00,38,99,2917,13801,0x0000000000000000,5,6026
170.9,127.60,250.00,39,99,2917,13801,0x0000000000000000,5,6025
172.9,127.19,250.00,38,99,2917,13801,0x0000000000000000,5,6030
174.9,127.80,250.00,39,99,2917,13801,0x0000000000000000,5,6030
176.9,127.58,250.00,39,99,2917,13801,0x0000000000000000,5,6030
179.0,128.23,250.00,39,99,2917,13801,0x0000000000000000,5,6030
181.0,127.47,250.00,39,99,2917,13801,0x0000000000000000,5,6030
183.0,127.58,250.00,39,99,2917,13801,0x0000000000000000,5,6030
185.0,128.00,250.00,38,99,2917,13801,0x0000000000000000,5,6030
187.0,128.40,250.00,39,99,2917,13801,0x0000000000000000,5,6014
189.0,127.39,250.00,39,99,2917,13801,0x0000000000000000,5,6014
191.0,127.40,250.00,39,99,2917,13801,0x0000000000000000,5,6014
193.0,128.35,250.00,39,99,2917,13801,0x0000000000000000,5,6014
195.0,127.91,250.00,39,99,2917,13801,0x0000000000000000,5,6014
197.0,128.10,250.00,39,99,2917,13801,0x0000000000000000,5,6014
199.1,128.46,250.00,39,99,2917,13801,0x0000000000000000,5,6014
201.1,127.59,250.00,39,99,2917,13801,0x0000000000000000,5,6014
203.1,128.11,250.00,39,99,2917,13801,0x0000000000000000,5,6014
205.1,127.62,250.00,39,99,2917,13801,0x0000000000000000,5,6014
207.1,128.28,250.00,39,99,2917,13801,0x0000000000000000,5,6014
209.1,128.32,250.00,39,99,2917,13801,0x0000000000000000,5,6014
211.1,127.86,250.00,39,99,2917,13801,0x0000000000000000,5,6014
213.1,128.15,250.00,39,99,2917,13801,0x0000000000000000,5,6014
215.2,128.32,250.00,39,99,2910,13801,0x0000000000000000,5,6014
217.2,128.10,250.00,39,99,2917,13801,0x0000000000000000,5,6014
219.2,127.96,250.00,39,99,2917,13801,0x0000000000000000,5,6014
221.2,127.47,250.00,39,99,2917,13801,0x0000000000000000,5,6014
223.2,127.43,250.00,39,99,2917,13801,0x0000000000000000,5,6014
225.2,128.31,250.00,39,99,2917,13801,0x0000000000000000,5,6014
227.2,128.02,250.00,39,99,2917,13801,0x0000000000000000,5,6014
229.2,128.36,250.00,39,99,2910,13801,0x0000000000000000,5,6014
231.2,127.60,250.00,39,99,2917,13801,0x0000000000000000,5,6014
233.2,127.97,250.00,39,99,2917,13801,0x0000000000000000,5,6014
235.3,128.52,250.00,39,99,2917,13801,0x0000000000000000,5,6014
237.3,128.50,250.00,39,99,2917,13801,0x0000000000000000,5,6014
239.3,127.84,250.00,39,99,2917,13801,0x0000000000000000,5,6014
241.3,126.25,250.00,39,99,2917,13801,0x0000000000000000,5,6014
243.3,128.20,250.00,39,99,2910,13801,0x0000000000000000,5,6014
245.3,127.83,250.00,39,99,2910,13801,0x0000000000000000,5,6014
247.3,128.23,250.00,39,99,2910,13801,0x0000000000000000,5,6014
249.4,128.31,250.00,39,99,2910,13801,0x0000000000000000,5,6014
