t_s,power.draw,power.limit,temperature.gpu,utilization.gpu,clocks.sm,clocks.mem,clocks_throttle_reasons.active,pcie.link.gen.current,memory.used
0.2,127.50,250.00,48,9,2917,13801,0x0000000000000000,5,5919
2.2,241.86,250.00,51,100,2887,13801,0x0000000000000000,5,5919
4.2,241.44,250.00,51,100,2887,13801,0x0000000000000000,5,5919
6.3,237.74,250.00,52,100,2887,13801,0x0000000000000000,5,5919
8.4,235.76,250.00,46,100,2857,13801,0x0000000000000000,5,5919
10.4,239.44,250.00,52,100,2865,13801,0x0000000000000000,5,5919
12.4,241.67,250.00,52,100,2857,13801,0x0000000000000000,5,5919
14.4,240.54,250.00,52,100,2857,13801,0x0000000000000000,5,5919
16.4,244.38,250.00,52,100,2887,13801,0x0000000000000000,5,5919
18.5,244.32,250.00,47,100,2887,13801,0x0000000000000000,5,5903
20.5,240.40,250.00,52,100,2887,13801,0x0000000000000000,5,5903
22.5,240.96,250.00,52,100,2850,13801,0x0000000000000000,5,5903
24.5,244.79,250.00,52,100,2887,13801,0x0000000000000000,5,5903
26.5,241.40,250.00,52,100,2857,13801,0x0000000000000000,5,5903
28.5,244.51,250.00,52,100,2887,13801,0x0000000000000000,5,5903
30.6,244.06,250.00,49,100,2887,13801,0x0000000000000000,5,5903
32.6,241.63,250.00,52,100,2887,13801,0x0000000000000000,5,5903
34.6,241.30,250.00,52,100,2850,13801,0x0000000000000000,5,5903
36.6,242.31,250.00,52,100,2850,13801,0x0000000000000000,5,5903
38.6,244.99,250.00,52,100,2887,13801,0x0000000000000000,5,5903
40.7,241.06,250.00,52,100,2857,13801,0x0000000000000000,5,5903
42.7,242.77,250.00,52,100,2850,13801,0x0000000000000000,5,5903
44.7,245.26,250.00,52,100,2887,13801,0x0000000000000000,5,5903
46.7,241.84,250.00,52,100,2850,13801,0x0000000000000000,5,5903
48.7,246.09,250.00,53,100,2887,13801,0x0000000000000000,5,5903
50.7,243.95,250.00,53,100,2887,13801,0x0000000000000000,5,5903
52.8,245.30,250.00,53,100,2887,13801,0x0000000000000000,5,5903
54.8,242.41,250.00,53,100,2857,13801,0x0000000000000000,5,5903
56.8,244.56,250.00,53,100,2872,13801,0x0000000000000000,5,5903
58.8,241.82,250.00,52,100,2842,13801,0x0000000000000000,5,5903
60.9,243.95,250.00,49,100,2872,13801,0x0000000000000000,5,5903
62.9,244.38,250.00,52,100,2872,13801,0x0000000000000000,5,5903
64.9,245.41,250.00,52,100,2887,13801,0x0000000000000000,5,5903
66.9,243.76,250.00,53,100,2842,13801,0x0000000000000000,5,5903
68.9,245.70,250.00,53,100,2887,13801,0x0000000000000000,5,5903
70.9,243.97,250.00,53,100,2872,13801,0x0000000000000000,5,5903
73.0,245.87,250.00,47,100,2872,13801,0x0000000000000000,5,5903
75.0,242.15,250.00,53,100,2842,13801,0x0000000000000000,5,5903
77.0,242.06,250.00,53,100,2842,13801,0x0000000000000000,5,5903
79.0,243.75,250.00,53,100,2842,13801,0x0000000000000000,5,5903
81.1,241.66,250.00,53,100,2857,13801,0x0000000000000000,5,5903
83.1,245.22,250.00,53,100,2872,13801,0x0000000000000000,5,5903
85.1,246.72,250.00,53,100,2872,13801,0x0000000000000000,5,5903
87.1,243.01,250.00,53,100,2842,13801,0x0000000000000000,5,5903
89.2,245.62,250.00,50,100,2872,13801,0x0000000000000000,5,5903
91.2,244.03,250.00,53,100,2872,13801,0x0000000000000000,5,5903
93.2,246.15,250.00,53,100,2872,13801,0x0000000000000000,5,5903
95.2,242.65,250.00,53,100,2842,13801,0x0000000000000000,5,5903
97.3,243.63,250.00,53,100,2842,13801,0x0000000000000000,5,5903
99.3,244.20,250.00,53,100,2850,13801,0x0000000000000000,5,5903
101.3,242.10,250.00,53,100,2842,13801,0x0000000000000000,5,5903
103.3,244.00,250.00,53,100,2857,13801,0x0000000000000000,5,5903
105.4,245.82,250.00,52,100,2857,13801,0x0000000000000000,5,5903
107.4,243.00,250.00,53,100,2842,13801,0x0000000000000000,5,5903
109.4,243.66,250.00,53,100,2842,13801,0x0000000000000000,5,5903
111.5,243.24,250.00,53,94,2842,13801,0x0000000000000000,5,5903
113.5,243.06,250.00,53,100,2842,13801,0x0000000000000000,5,5903
115.5,243.93,250.00,53,100,2842,13801,0x0000000000000000,5,5903
117.6,243.90,250.00,49,100,2842,13801,0x0000000000000000,5,5903
119.6,242.93,250.00,53,100,2842,13801,0x0000000000000000,5,5903
121.6,243.23,250.00,53,100,2872,13801,0x0000000000000000,5,5903
123.7,244.15,250.00,49,100,2842,13801,0x0000000000000000,5,5903
125.7,243.88,250.00,53,100,2872,13801,0x0000000000000000,5,5903
127.7,244.17,250.00,53,100,2842,13801,0x0000000000000000,5,5903
129.7,244.97,250.00,53,100,2842,13801,0x0000000000000000,5,5756
131.8,244.12,250.00,53,100,2872,13801,0x0000000000000000,5,5756
133.8,243.95,250.00,53,100,2842,13801,0x0000000000000000,5,5756
135.8,246.03,250.00,53,100,2872,13801,0x0000000000000000,5,5756
137.9,246.26,250.00,48,100,2872,13801,0x0000000000000000,5,5756
139.9,243.54,250.00,53,100,2842,13801,0x0000000000000000,5,5756
141.9,244.73,250.00,53,100,2842,13801,0x0000000000000000,5,5756
143.9,246.09,250.00,53,100,2872,13801,0x0000000000000000,5,5756
146.0,241.26,250.00,53,100,2842,13801,0x0000000000000000,5,5756
148.0,247.03,250.00,53,100,2872,13801,0x0000000000000000,5,5756
150.0,245.41,250.00,53,100,2872,13801,0x0000000000000000,5,5756
152.0,246.16,250.00,53,100,2872,13801,0x0000000000000000,5,5756
154.1,244.76,250.00,53,100,2842,13801,0x0000000000000000,5,5756
156.1,246.24,250.00,53,100,2872,13801,0x0000000000000000,5,5756
158.1,246.09,250.00,53,100,2872,13801,0x0000000000000000,5,5756
160.1,246.34,250.00,53,100,2872,13801,0x0000000000000000,5,5756
162.2,246.34,250.00,50,100,2872,13801,0x0000000000000000,5,5756
164.2,244.30,250.00,53,100,2872,13801,0x0000000000000000,5,5756
166.2,244.62,250.00,53,100,2842,13801,0x0000000000000000,5,5756
168.2,246.15,250.00,53,100,2872,13801,0x0000000000000000,5,5756
170.2,245.45,250.00,53,100,2872,13801,0x0000000000000000,5,5756
172.3,242.16,250.00,53,100,2842,13801,0x0000000000000000,5,5756
174.3,246.01,250.00,53,100,2850,13801,0x0000000000000000,5,5756
176.3,245.73,250.00,53,100,2872,13801,0x0000000000000000,5,5756
178.3,245.24,250.00,53,100,2872,13801,0x0000000000000000,5,5756
180.4,242.54,250.00,53,100,2842,13801,0x0000000000000000,5,5756
182.4,245.90,250.00,53,100,2872,13801,0x0000000000000000,5,5756
184.4,244.46,250.00,53,100,2842,13801,0x0000000000000000,5,5756
186.4,246.83,250.00,54,100,2872,13801,0x0000000000000000,5,5756
188.5,244.26,250.00,53,100,2842,13801,0x0000000000000000,5,5756
190.5,245.36,250.00,53,100,2842,13801,0x0000000000000000,5,5756
192.6,245.11,250.00,49,100,2842,13801,0x0000000000000000,5,5756
194.6,244.54,250.00,53,100,2842,13801,0x0000000000000000,5,5756
196.6,246.81,250.00,54,100,2872,13801,0x0000000000000000,5,5756
198.6,245.36,250.00,53,100,2842,13801,0x0000000000000000,5,5756
200.7,246.66,250.00,54,100,2872,13801,0x0000000000000000,5,5756
202.7,245.42,250.00,54,100,2842,13801,0x0000000000000000,5,5756
204.7,247.82,250.00,54,100,2872,13801,0x0000000000000000,5,5756
206.7,244.58,250.00,53,100,2842,13801,0x0000000000000000,5,5756
208.8,246.65,250.00,54,100,2872,13801,0x0000000000000000,5,5756
210.8,246.09,250.00,54,100,2842,13801,0x0000000000000000,5,5756
212.8,245.40,250.00,53,100,2842,13801,0x0000000000000000,5,5756
214.9,242.06,250.00,53,100,2842,13801,0x0000000000000000,5,5756
216.9,247.20,250.00,54,100,2872,13801,0x0000000000000000,5,5756
218.9,244.39,250.00,54,100,2842,13801,0x0000000000000000,5,5756
221.0,244.49,250.00,53,100,2842,13801,0x0000000000000000,5,5756
223.0,246.09,250.00,54,100,2842,13801,0x0000000000000000,5,5756
225.0,246.18,250.00,54,100,2872,13801,0x0000000000000000,5,5756
227.0,246.23,250.00,54,100,2872,13801,0x0000000000000000,5,5756
229.0,247.75,250.00,54,100,2872,13801,0x0000000000000000,5,5756
231.1,244.83,250.00,54,100,2842,13801,0x0000000000000000,5,5756
233.1,244.44,250.00,54,100,2842,13801,0x0000000000000000,5,5756
235.1,245.35,250.00,47,100,2842,13801,0x0000000000000000,5,5756
237.2,244.74,250.00,54,100,2872,13801,0x0000000000000000,5,5756
239.2,245.23,250.00,54,100,2842,13801,0x0000000000000000,5,5756
241.2,246.30,250.00,54,100,2842,13801,0x0000000000000000,5,5756
243.3,244.81,250.00,54,100,2842,13801,0x0000000000000000,5,5756
245.3,245.77,250.00,54,100,2872,13801,0x0000000000000000,5,5756
247.3,246.17,250.00,54,100,2842,13801,0x0000000000000000,5,5756
249.4,244.28,250.00,54,100,2842,13801,0x0000000000000000,5,5756
251.4,245.80,250.00,53,100,2872,13801,0x0000000000000000,5,5756
253.4,245.36,250.00,54,100,2842,13801,0x0000000000000000,5,5756
255.4,246.84,250.00,54,100,2872,13801,0x0000000000000000,5,5756
257.5,243.36,250.00,54,100,2842,13801,0x0000000000000000,5,5756
259.5,245.57,250.00,54,100,2842,13801,0x0000000000000000,5,5756
261.5,245.90,250.00,54,100,2872,13801,0x0000000000000000,5,5756
263.5,246.36,250.00,54,100,2872,13801,0x0000000000000000,5,5756
265.6,243.87,250.00,54,100,2842,13801,0x0000000000000000,5,5756
267.6,246.11,250.00,54,100,2842,13801,0x0000000000000000,5,5756
269.6,245.37,250.00,54,100,2842,13801,0x0000000000000000,5,5756
271.7,246.30,250.00,54,100,2872,13801,0x0000000000000000,5,5756
273.7,245.90,250.00,54,100,2842,13801,0x0000000000000000,5,5756
275.7,246.54,250.00,54,100,2872,13801,0x0000000000000000,5,5756
277.7,244.99,250.00,54,100,2842,13801,0x0000000000000000,5,5756
279.8,243.25,250.00,54,100,2842,13801,0x0000000000000000,5,5756
281.8,243.35,250.00,54,100,2842,13801,0x0000000000000000,5,5756
283.8,244.66,250.00,54,100,2842,13801,0x0000000000000000,5,5756
285.9,247.19,250.00,51,100,2872,13801,0x0000000000000000,5,5756
287.9,245.83,250.00,54,100,2872,13801,0x0000000000000000,5,5756
289.9,244.92,250.00,54,100,2842,13801,0x0000000000000000,5,5756
291.9,246.70,250.00,54,100,2872,13801,0x0000000000000000,5,5756
294.0,243.33,250.00,54,100,2842,13801,0x0000000000000000,5,5756
296.0,244.44,250.00,54,100,2842,13801,0x0000000000000000,5,5756
298.0,245.78,250.00,54,100,2842,13801,0x0000000000000000,5,5756
300.1,246.47,250.00,51,100,2872,13801,0x0000000000000000,5,5756
302.1,244.46,250.00,54,95,2872,13801,0x0000000000000000,5,5756
304.1,245.65,250.00,54,100,2842,13801,0x0000000000000000,5,5756
306.1,246.59,250.00,54,100,2872,13801,0x0000000000000000,5,5756
