t_s,power.draw,power.limit,temperature.gpu,utilization.gpu,clocks.sm,clocks.mem,clocks_throttle_reasons.active,pcie.link.gen.current,memory.used
0.2,218.08,250.00,40,100,2880,13801,0x0000000000000000,5,1145
2.2,51.23,250.00,39,66,2917,13801,0x0000000000000000,5,1145
4.2,51.60,250.00,39,66,2917,13801,0x0000000000000000,5,1145
6.2,51.58,250.00,38,66,2917,13801,0x0000000000000000,5,1145
8.2,51.40,250.00,38,64,2917,13801,0x0000000000000000,5,1145
10.3,50.99,250.00,38,66,2917,13801,0x0000000000000000,5,1145
12.3,51.03,250.00,38,65,2917,13801,0x0000000000000000,5,1145
14.3,51.02,250.00,38,65,2917,13801,0x0000000000000000,5,1145
16.3,50.92,250.00,38,64,2917,13801,0x0000000000000000,5,1145
18.3,50.89,250.00,38,64,2917,13801,0x0000000000000000,5,1145
20.3,50.82,250.00,38,65,2917,13801,0x0000000000000000,5,1145
22.3,50.70,250.00,38,65,2917,13801,0x0000000000000000,5,1145
24.3,50.54,250.00,38,64,2917,13801,0x0000000000000000,5,1145
26.3,50.62,250.00,38,65,2917,13801,0x0000000000000000,5,1145
28.3,50.77,250.00,38,66,2917,13801,0x0000000000000000,5,1145
30.3,50.54,250.00,38,64,2917,13801,0x0000000000000000,5,1145
32.3,50.56,250.00,38,66,2917,13801,0x0000000000000000,5,1145
34.3,50.64,250.00,38,65,2917,13801,0x0000000000000000,5,1145
36.3,50.64,250.00,38,66,2917,13801,0x0000000000000000,5,1145
38.3,50.64,250.00,37,64,2917,13801,0x0000000000000000,5,1145
40.4,50.65,250.00,37,65,2917,13801,0x0000000000000000,5,1145
42.4,50.50,250.00,37,64,2917,13801,0x0000000000000000,5,1145
44.4,50.36,250.00,37,65,2917,13801,0x0000000000000000,5,1145
46.4,50.51,250.00,37,65,2917,13801,0x0000000000000000,5,1145
48.4,50.52,250.00,37,63,2917,13801,0x0000000000000000,5,1145
50.4,50.47,250.00,37,65,2917,13801,0x0000000000000000,5,1145
52.4,50.70,250.00,37,65,2917,13801,0x0000000000000000,5,1145
54.4,50.63,250.00,37,66,2917,13801,0x0000000000000000,5,1145
56.4,50.58,250.00,37,66,2917,13801,0x0000000000000000,5,1145
58.4,50.55,250.00,37,65,2917,13801,0x0000000000000000,5,1145
60.4,50.38,250.00,37,64,2917,13801,0x0000000000000000,5,1145
62.4,50.52,250.00,37,66,2917,13801,0x0000000000000000,5,1145
64.4,50.38,250.00,37,66,2917,13801,0x0000000000000000,5,1145
66.4,50.47,250.00,37,66,2917,13801,0x0000000000000000,5,1145
68.4,50.38,250.00,37,65,2917,13801,0x0000000000000000,5,1145
70.4,50.29,250.00,37,64,2917,13801,0x0000000000000000,5,1145
72.4,50.49,250.00,37,66,2917,13801,0x0000000000000000,5,1145
74.4,50.43,250.00,37,65,2917,13801,0x0000000000000000,5,1145
76.4,50.59,250.00,37,64,2917,13801,0x0000000000000000,5,1145
78.5,50.68,250.00,37,66,2917,13801,0x0000000000000000,5,1145
80.5,50.62,250.00,37,66,2917,13801,0x0000000000000000,5,1145
82.5,50.50,250.00,37,64,2917,13801,0x0000000000000000,5,1145
84.5,50.30,250.00,37,65,2917,13801,0x0000000000000000,5,1145
86.5,50.25,250.00,37,66,2917,13801,0x0000000000000000,5,1145
88.5,50.52,250.00,37,66,2917,13801,0x0000000000000000,5,1145
90.5,50.29,250.00,37,64,2917,13801,0x0000000000000000,5,1145
92.5,50.45,250.00,37,65,2917,13801,0x0000000000000000,5,1145
94.5,50.53,250.00,37,63,2917,13801,0x0000000000000000,5,1145
96.5,50.28,250.00,37,66,2917,13801,0x0000000000000000,5,1145
98.5,50.43,250.00,37,66,2917,13801,0x0000000000000000,5,1145
100.5,50.42,250.00,37,64,2917,13801,0x0000000000000000,5,1145
102.5,50.47,250.00,36,66,2917,13801,0x0000000000000000,5,1145
104.5,50.63,250.00,36,65,2917,13801,0x0000000000000000,5,1145
106.5,50.29,250.00,36,65,2917,13801,0x0000000000000000,5,1145
108.5,50.54,250.00,36,66,2917,13801,0x0000000000000000,5,1145
110.6,50.36,250.00,36,64,2917,13801,0x0000000000000000,5,1145
112.6,50.27,250.00,36,64,2917,13801,0x0000000000000000,5,1145
114.6,50.16,250.00,36,64,2917,13801,0x0000000000000000,5,1145
116.6,50.31,250.00,36,65,2917,13801,0x0000000000000000,5,1145
118.6,50.24,250.00,36,64,2917,13801,0x0000000000000000,5,1145
120.6,50.15,250.00,36,64,2917,13801,0x0000000000000000,5,1145
122.6,50.30,250.00,36,66,2917,13801,0x0000000000000000,5,1145
124.6,50.30,250.00,36,65,2917,13801,0x0000000000000000,5,1145
126.6,50.01,250.00,36,64,2917,13801,0x0000000000000000,5,1145
128.6,50.33,250.00,36,64,2917,13801,0x0000000000000000,5,1145
130.6,50.15,250.00,36,65,2917,13801,0x0000000000000000,5,1145
132.6,50.33,250.00,36,66,2917,13801,0x0000000000000000,5,1145
134.6,50.33,250.00,36,65,2917,13801,0x0000000000000000,5,1145
136.6,50.20,250.00,36,64,2917,13801,0x0000000000000000,5,1145
138.6,50.26,250.00,36,65,2917,13801,0x0000000000000000,5,1145
140.6,50.17,250.00,36,64,2917,13801,0x0000000000000000,5,1145
142.6,50.20,250.00,36,64,2917,13801,0x0000000000000000,5,1145
144.7,49.95,250.00,36,65,2917,13801,0x0000000000000000,5,1145
146.7,50.29,250.00,36,65,2917,13801,0x0000000000000000,5,1145
148.7,50.23,250.00,36,64,2917,13801,0x0000000000000000,5,1145
150.7,50.15,250.00,36,66,2917,13801,0x0000000000000000,5,1145
152.7,50.19,250.00,36,66,2917,13801,0x0000000000000000,5,1145
154.7,50.15,250.00,36,66,2917,13801,0x0000000000000000,5,1145
