t_s,power.draw,power.limit,temperature.gpu,utilization.gpu,clocks.sm,clocks.mem,clocks_throttle_reasons.active,pcie.link.gen.current,memory.used
0.2,23.10,250.00,36,1,855,13801,0x0000000000000004,5,924
2.5,237.96,250.00,52,100,2857,13801,0x0000000000000000,5,924
4.7,235.51,250.00,49,100,2857,13801,0x0000000000000000,5,924
7.0,237.64,250.00,53,100,2850,13801,0x0000000000000000,5,924
9.3,239.42,250.00,53,100,2850,13801,0x0000000000000000,5,924
11.6,240.81,250.00,53,100,2850,13801,0x0000000000000000,5,924
13.8,240.54,250.00,47,100,2850,13801,0x0000000000000000,5,924
16.1,243.63,250.00,53,100,2850,13801,0x0000000000000000,5,924
18.3,243.99,250.00,53,100,2850,13801,0x0000000000000000,5,924
20.5,240.95,250.00,53,100,2850,13801,0x0000000000000000,5,924
22.8,242.34,250.00,53,100,2850,13801,0x0000000000000000,5,924
25.0,242.66,250.00,46,100,2850,13801,0x0000000000000000,5,924
27.3,244.04,250.00,53,100,2850,13801,0x0000000000000000,5,924
29.5,242.73,250.00,53,100,2842,13801,0x0000000000000000,5,924
31.7,242.80,250.00,53,100,2842,13801,0x0000000000000000,5,924
34.0,244.69,250.00,53,100,2872,13801,0x0000000000000000,5,924
36.2,244.63,250.00,53,100,2850,13801,0x0000000000000000,5,924
38.5,243.41,250.00,53,100,2842,13801,0x0000000000000000,5,924
40.7,243.40,250.00,53,100,2842,13801,0x0000000000000000,5,924
42.9,241.03,250.00,52,100,2850,13801,0x0000000000000000,5,924
45.2,244.89,250.00,53,100,2842,13801,0x0000000000000000,5,920
47.4,244.94,250.00,54,100,2842,13801,0x0000000000000000,5,920
49.6,241.34,250.00,53,100,2842,13801,0x0000000000000000,5,920
51.9,242.30,250.00,53,100,2842,13801,0x0000000000000000,5,920
54.1,245.05,250.00,47,100,2842,13801,0x0000000000000000,5,920
56.4,244.71,250.00,54,100,2842,13801,0x0000000000000000,5,920
58.6,243.36,250.00,54,100,2842,13801,0x0000000000000000,5,920
60.8,246.31,250.00,53,100,2842,13801,0x0000000000000000,5,920
63.1,245.23,250.00,54,100,2857,13801,0x0000000000000000,5,920
65.3,245.97,250.00,54,100,2842,13801,0x0000000000000000,5,920
67.5,241.79,250.00,52,100,2850,13801,0x0000000000000000,5,920
69.8,243.89,250.00,54,100,2842,13801,0x0000000000000000,5,920
72.0,245.63,250.00,49,100,2842,13801,0x0000000000000000,5,920
74.3,245.86,250.00,54,100,2842,13801,0x0000000000000000,5,920
76.5,245.80,250.00,54,100,2842,13801,0x0000000000000000,5,920
78.7,242.31,250.00,54,100,2842,13801,0x0000000000000000,5,920
81.0,244.21,250.00,54,100,2842,13801,0x0000000000000000,5,920
83.2,244.11,250.00,52,100,2842,13801,0x0000000000000000,5,920
85.5,245.82,250.00,54,100,2842,13801,0x0000000000000000,5,920
87.7,244.04,250.00,54,100,2842,13801,0x0000000000000000,5,920
89.9,243.12,250.00,54,100,2842,13801,0x0000000000000000,5,920
92.2,245.84,250.00,54,100,2842,13801,0x0000000000000000,5,920
94.4,243.57,250.00,53,100,2842,13801,0x0000000000000000,5,920
